0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	
0.016	0.009	0.001	0.011	0.003	0.015	0.009	0.018	0.008	0.013	0.011	0.014	0.007	0.011	0.012	0.016	0.006	0.008	0.023	0.012	0.001	0.021	0.01	0.005	0.005	0.005	0.004	0.012	0.01	0.015	0.008	0.015	0.008	0.015	0.009	0.011	0.001	0.006	0.009	0.017	0.005	0.014	0.031	0.011	0.011	0.024	0.016	0.02	0.013	0.003	0.008	0.021	0.01	0.006	0.005	0.006	0.006	0.006	0.011	0.002	0.014	0.023	0.01	0.01	0.011	0.01	0.008	0.008	0.013	0.008	0.018	0.01	0.006	0.004	0.018	0.009	0.012	0.021	0.01	0.003	0.009	0.005	0.017	0.012	0.024	0.004	0.013	0.008	0.01	0.011	0.015	0.001	0.01	0.014	0.009	0.014	0.009	0.009	0.01	0.009	
0.015	0.006	0	0.014	0.006	0.02	0.008	0.019	0.004	0.01	0.008	0.011	0.001	0.018	0.015	0.021	0.002	0.006	0.045	0.014	0	0.022	0.008	0.006	0.001	0.003	0.001	0.005	0.006	0.013	0.013	0.012	0.004	0.012	0.01	0.02	0	0.005	0.005	0.022	0.003	0.014	0.021	0.022	0.011	0.018	0.021	0.024	0.011	0.001	0.013	0.01	0.01	0.005	0.003	0.009	0.008	0.015	0.006	0.003	0.03	0.033	0.012	0.002	0.011	0.013	0.006	0.002	0.007	0.01	0.03	0.008	0.001	0.005	0.018	0.009	0.01	0.018	0.022	0.002	0.013	0.002	0.019	0.02	0.026	0	0.005	0.004	0.01	0.019	0.012	0	0.01	0.024	0.011	0.012	0.022	0.013	0.018	0.009	
0.023	0.002	0	0.01	0.009	0.024	0.016	0.036	0.005	0.009	0.005	0.009	0	0.035	0.008	0.026	0.002	0.011	0.039	0.022	0	0.015	0.01	0.006	0.001	0.003	0	0.001	0.013	0.011	0.02	0.015	0.002	0.006	0.01	0.022	0	0.003	0.003	0.023	0	0.013	0.032	0.023	0.015	0.017	0.021	0.029	0.002	0	0.005	0.01	0.009	0.006	0.001	0	0.016	0.013	0.007	0	0.031	0.031	0.012	0.002	0.034	0.012	0.008	0	0.001	0.003	0.025	0.009	0	0.003	0.04	0.003	0.007	0.009	0.024	0.002	0.023	0.005	0.041	0.028	0.046	0	0.001	0.008	0.015	0.01	0.005	0	0.012	0.017	0.02	0.011	0.013	0.01	0.029	0.006	
0.018	0	0	0.002	0.007	0.03	0.014	0.037	0.002	0.006	0.002	0.002	0	0.022	0.013	0.028	0.002	0.01	0.031	0.033	0	0.022	0.007	0.015	0	0	0	0.002	0.01	0.007	0.026	0.01	0	0.003	0.01	0.024	0	0.004	0.002	0.027	0	0.026	0.03	0.032	0.012	0.007	0.019	0.043	0	0	0.008	0.018	0.01	0.005	0	0	0.009	0.019	0.006	0	0.019	0.017	0.014	0	0.023	0.008	0.008	0	0	0.001	0.028	0.009	0	0.007	0.049	0.001	0.001	0.003	0.03	0	0.01	0.008	0.046	0.024	0.051	0	0	0.009	0.018	0.024	0.008	0	0.015	0.033	0.017	0.007	0.011	0.01	0.043	0.016	
0.022	0	0	0.002	0.006	0.034	0.02	0.058	0.002	0.008	0.001	0	0	0.035	0.014	0.024	0	0.016	0.038	0.042	0	0.025	0.006	0.017	0	0	0	0.005	0.015	0.008	0.018	0.012	0	0.003	0.009	0.011	0	0.003	0	0.046	0	0.022	0.027	0.034	0.016	0.01	0.015	0.045	0	0	0.004	0.014	0.016	0.005	0	0	0.012	0.017	0.01	0	0.02	0.038	0.013	0	0.04	0.009	0.003	0	0	0.002	0.039	0.008	0	0.009	0.037	0.002	0.003	0.006	0.043	0	0.001	0.007	0.063	0.029	0.049	0	0	0.009	0.018	0.031	0.007	0	0.01	0.042	0.026	0.008	0.008	0.006	0.052	0.015	
0.019	0	0	0.009	0.007	0.054	0.029	0.04	0.001	0.002	0	0	0	0.031	0.033	0.027	0	0.027	0.032	0.043	0	0.038	0.004	0.025	0	0	0	0.002	0.025	0.001	0.027	0.011	0	0.001	0.008	0.022	0	0	0	0.038	0	0.029	0.034	0.05	0.013	0.008	0.023	0.043	0	0	0.003	0.023	0.018	0.008	0	0	0.008	0.025	0.023	0	0.017	0.045	0.015	0	0.048	0.011	0.004	0	0	0.003	0.033	0.007	0	0.015	0.027	0.001	0	0.004	0.048	0	0.008	0.016	0.055	0.025	0.05	0	0	0.011	0.012	0.039	0.004	0	0.015	0.052	0.021	0.015	0.009	0.002	0.059	0.009	
0.02	0	0	0.004	0.002	0.054	0.039	0.052	0	0.005	0	0	0	0.034	0.04	0.039	0	0.025	0.044	0.048	0	0.043	0.006	0.028	0	0	0	0	0.023	0	0.048	0.012	0	0.002	0.006	0.016	0	0	0	0.05	0	0.029	0.025	0.051	0.012	0.012	0.015	0.037	0	0	0.003	0.03	0.044	0.015	0	0	0.012	0.037	0.031	0	0.011	0.031	0.022	0	0.056	0.022	0	0	0	0.004	0.022	0.006	0	0.011	0.034	0	0	0.004	0.036	0	0.008	0.009	0.048	0.035	0.064	0	0	0.006	0.023	0.044	0.002	0	0.015	0.049	0.016	0.016	0.024	0.005	0.052	0.023	
0.019	0	0	0.001	0	0.053	0.03	0.038	0	0.009	0	0	0	0.047	0.047	0.037	0	0.023	0.052	0.052	0	0.043	0.016	0.038	0	0	0	0	0.012	0	0.041	0.005	0	0.001	0.001	0.014	0	0	0	0.037	0	0.05	0.037	0.051	0.021	0.024	0.016	0.034	0	0	0.001	0.04	0.043	0.019	0	0	0.01	0.029	0.024	0	0.006	0.037	0.031	0	0.086	0.019	0	0	0	0.004	0.011	0.004	0	0.006	0.035	0	0	0.002	0.036	0	0.006	0.017	0.054	0.057	0.068	0	0	0.001	0.015	0.034	0	0	0.019	0.055	0.027	0.019	0.042	0.008	0.059	0.018	
0.015	0	0	0	0	0.056	0.036	0.029	0	0.01	0	0	0	0.048	0.043	0.036	0	0.034	0.06	0.068	0	0.023	0.017	0.042	0	0	0	0	0.016	0	0.043	0.005	0	0.003	0	0.008	0	0	0	0.035	0	0.057	0.032	0.068	0.011	0.016	0.012	0.042	0	0	0	0.054	0.045	0.02	0	0	0.012	0.024	0.021	0	0.005	0.04	0.038	0	0.098	0.01	0	0	0	0	0.016	0.007	0	0.001	0.036	0	0	0.004	0.052	0	0	0.024	0.049	0.06	0.077	0	0	0.004	0.027	0.041	0	0	0.017	0.066	0.029	0.015	0.039	0.009	0.067	0.031	
